,feature,importance,stddev,p_value,n,p99_high,p99_low,seed,fold,model
157,FR-p1-Pd,0.00719230769230772,0.009033916507354373,0.001043981732488282,20,0.012971524743787474,0.0014130906408279659,27431,1,ExtraTreesEntr
158,dm-edad,0.004461538461538494,0.0031921735496912426,2.6486533302383026e-06,20,0.006503649853052887,0.002419427070024101,27431,1,ExtraTreesEntr
159,Tv-09-Pd,0.0043076923076923734,0.005807028677530619,0.0018100361083062911,20,0.008022590394728725,0.000592794220656021,27431,1,ExtraTreesEntr
160,Tv-08-Pd,0.0034615384615384937,0.011095407429339656,0.08952358779309247,20,0.01055954160962532,-0.0036364646865483323,27431,1,ExtraTreesEntr
161,CC-p2-Pd,0.0024230769230769666,0.003089800986134007,0.0011784523676208276,20,0.004399698085139712,0.0004464557610142218,27431,1,ExtraTreesEntr
162,St-p3-Pd,0.0008076923076923648,0.0121407580838862,0.384649336049593,20,0.008574431803144452,-0.006959047187759723,27431,1,ExtraTreesEntr
163,dm-genero,0.0006153846153846676,0.005465557054948442,0.3101890704071964,20,0.004111834964696542,-0.0028810657339272067,27431,1,ExtraTreesEntr
164,Tv-02-Pd,0.00011538461538466715,0.006665355938833436,0.46955041118414176,20,0.00437937561690976,-0.004148606386140425,27431,1,ExtraTreesEntr
165,FR-p2-Pd,-0.0010384615384614992,0.003932433076001239,0.8739090381921183,20,0.0014772119535536351,-0.0035541350304766333,27431,1,ExtraTreesEntr
166,cl-RC_e,-0.001423076923076877,0.007121646221775442,0.8086528694552303,20,0.00313281411775633,-0.005978967963910084,27431,1,ExtraTreesEntr
167,FR-pd-Pd,-0.004653846153846097,0.005044029127090995,0.9997128238093275,20,-0.0014270575161922272,-0.007880634791499967,27431,1,ExtraTreesEntr
168,CC-pt-Pd,-0.005692307692307663,0.007409371459516735,0.9986145400564077,20,-0.0009523517889376085,-0.010432263595677718,27431,1,ExtraTreesEntr
169,Tv-03-Pd,-0.00753846153846151,0.011926276180418178,0.9946122923236941,20,9.106864442419167e-05,-0.015167991721347213,27431,1,ExtraTreesEntr
170,Tv-01-Pd,-0.019538461538461498,0.010098857359257432,0.9999999743379405,20,-0.013077975811858919,-0.025998947265064076,27431,1,ExtraTreesEntr
171,St-p2-Pd,0.20999999999999996,0.09143514735883534,1.7070957225062603e-09,20,0.2684932971530746,0.15150670284692536,27431,1,NeuralNetFastAI
172,CC-pt-Pd,0.08830769230769234,0.03059220329630699,3.736729442232797e-11,20,0.10787827199906132,0.06873711261632336,27431,1,NeuralNetFastAI
173,CC-p1-Pd,0.08592307692307696,0.030839090733747843,6.843594707457113e-11,20,0.10565159653862974,0.06619455730752419,27431,1,NeuralNetFastAI
174,St-p1-Pd,0.0735384615384616,0.02791900015967467,1.7706248086518035e-10,20,0.09139892788787995,0.05567799518904323,27431,1,NeuralNetFastAI
175,FR-p1-Pd,0.04492307692307697,0.042396594117627376,7.145471730230825e-05,20,0.07204521375595471,0.017800940090199217,27431,1,NeuralNetFastAI
176,FR-p2-Pd,0.0375384615384616,0.02931970276817625,8.07347651732836e-06,20,0.05629499155998879,0.018781931516934407,27431,1,NeuralNetFastAI
177,CC-p2-Pd,0.035000000000000066,0.03350908716235142,8.321512884580688e-05,20,0.05643658154805069,0.013563418451949444,27431,1,NeuralNetFastAI
178,cl-RC_e,0.027769230769230817,0.012895623432235085,4.811430129446916e-09,20,0.036018876066302566,0.019519585472159064,27431,1,NeuralNetFastAI
179,dm-edad,0.01761538461538457,0.019075323166553113,0.00028478219083177874,20,0.029818334777353135,0.005412434453416007,27431,1,NeuralNetFastAI
180,Tv-01-Pd,0.016769230769230804,0.04005259699839435,0.03831262706533667,20,0.04239185539064823,-0.008853393852186621,27431,1,NeuralNetFastAI
181,Tv-08-Pd,0.014076923076923126,0.02263421508044165,0.0059483203064864595,20,0.02855658332541665,-0.00040273717157039875,27431,1,NeuralNetFastAI
182,FR-pd-Pd,0.009923076923076984,0.01865936518380508,0.01402065965297308,20,0.02185992860332507,-0.002013774757171103,27431,1,NeuralNetFastAI
183,Tv-02-Pd,0.006000000000000056,0.027942638222464216,0.17448765652802223,20,0.02387558819556633,-0.011875588195566217,27431,1,NeuralNetFastAI
184,Tv-09-Pd,0.004615384615384649,0.01729801798897587,0.12373216599688852,20,0.015681349242942323,-0.0064505800121730265,27431,1,NeuralNetFastAI
185,St-p3-Pd,0.004000000000000064,0.01767134826100062,0.16205875106542067,20,0.015304793121507466,-0.007304793121507338,27431,1,NeuralNetFastAI
186,dm-genero,0.001769230769230834,0.022071343226920923,0.36196643792078265,20,0.015888808144364084,-0.012350346605902415,27431,1,NeuralNetFastAI
